iata,icao,airport_id
KMH,FAKU,818
MGH,FAMG,827
LAY,FALY,824
SDB,FALW,823
,FAMB,825
LLE,FAMN,831
,FAMI,828
MZQ,FAMU,833
,FAMJ,829
,FANY,835
NCS,FANC,834
,FAMS,832
OUH,FAOH,837
OVG,FAOB,836
PBZ,FAPG,839
PLZ,FAPE,838
,FAPI,841
PZB,FAPM,843
PHW,FAPH,840
PTG,FAPP,845
NTY,FAPN,844
PCF,FAPS,846
JOH,FAPJ,842
,FAPY,847
RCB,FARB,849
UTW,FAQT,848
,FARG,850
ZEC,FASC,853
SFT,ESNS,726
ROD,FARS,851
SBU,FASB,852
SIS,FASS,857
,FASK,856
,FASI,855
,FASD,854
,FATF,860
SZK,FASZ,859
,FASX,858
,FATT,862
,FATP,861
LTA,FATZ,863
ULD,FAUL,864
UTT,FAUT,866
UTN,FAUP,865
VRU,FAVB,867
VRE,FAVR,869
VIR,FAVG,868
,FAVV,870
,FAWI,872
,FAWM,874
PRY,FAWB,871
,FAYP,875
WKF,FAWK,873
,FAZR,876
BBK,FBKE,879
PKW,FBSP,882
GBE,FBSK,881
FRW,FBFT,877
BGF,FEFF,888
JWA,FBJW,878
MUB,FBMN,880
BBT,FEFT,889
OUE,FCOU,885
FTX,FCOO,884
PNR,FCPP,886
BZV,FCBB,883
MTS,FDMS,887
BSG,FGBT,890
NGE,FKKN,900
DLA,FKKD,897
MVR,FKKL,898
GOU,FKKR,901
ASI,FHAW,892
CGJ,FLKE,905
YAO,FKKY,904
MRU,FIMP,893
BFX,FKKU,902
MNR,FLMG,909
NLA,FLND,910
MFU,FLMF,908
LUN,FLLS,907
KIW,FLSO,911
AJN,FMCV,914
DZA,FMCZ,915
NKW,FJDG,895
NWA,FMCI,913
HAH,FMCH,912
LVI,FLLI,906
ZVA,FMMN,919
RUN,FMEE,916
ZSE,FMEP,917
TNR,FMMI,918
TMM,FMMT,921
SMS,FMMS,920
MOQ,FMMV,922
TKC,FKKC,896
BPC,FKKV,903
FOM,FKKM,899
DIE,FMNA,923
WMR,FMNC,924
AMB,FMNE,926
SSG,FGSL,891
HVA,FMNL,928
ANM,FMNH,927
ZWA,FMND,925
BPY,FMNQ,931
MJN,FMNM,929
NOS,FMNN,930
WMN,FMNR,932
RRG,FIMR,894
VOH,FMNV,934
SVB,FMNS,933
WAI,FMNW,935
WFI,FMSF,938
TLE,FMST,943
RVA,FMSG,939
WVK,FMSK,940
MXM,FMSR,942
BUG,FNBG,945
CAB,FNCA,946
SVP,FNKU,949
SSY,FNBC,944
NOV,FNHU,948
FTU,FMSD,937
,FNLB,950
LAD,FNLU,951
SPP,FNME,953
IVA,FMNZ,936
MNJ,FMSM,941
MEG,FNMA,952
GXG,FNNG,955
PBN,FNPA,956
SZA,FNSO,958
VHC,FNSA,957
LUO,FNUE,960
SDD,FNUB,959
UGO,FNUG,961
OYE,FOGO,963
XGN,FNXA,962
LBQ,FOGR,965
OKN,FOGQ,964
TMS,FPST,973
OMB,FOOH,968
POG,FOOG,967
LBV,FOOL,970
MVB,FOON,971
MKU,FOOK,969
BMM,FOOB,966
PCP,FPPR,972
BEW,FQBR,974
VXC,FQLC,977
INH,FQIN,976
LFB,FQLU,978
MPM,FQMA,979
,FQMR,982
MUD,FQMD,980
MNC,FQNC,983
POL,FQPB,985
APL,FQNP,984
TET,FQTT,988
UEL,FQQL,986
VNX,FQVL,990
,FQSG,987
,FQUG,989
PRI,FSPP,995
AEH,FTTC,997
,FSFA,993
BFO,FVCZ,1003
